敵種類,弾種類,移動パターン,発射パターン,出現時間,停止時間,発射時間,帰還時間,X座標,Y座標,HP
4,0,5,99,30,300,0,360,100,-23,1
4,0,5,99,90,360,0,420,100,-23,1
4,0,5,99,150,420,0,480,100,-23,1
4,0,4,99,200,470,0,530,950,-23,1
4,0,4,99,260,530,0,590,950,-23,1
4,0,4,99,320,590,0,650,950,-23,1
4,0,3,99,370,0,0,0,200,-40,1
4,0,3,99,430,0,0,0,200,-40,1
4,0,3,99,490,0,0,0,200,-40,1
4,0,2,99,540,0,0,0,850,-40,1
4,0,2,99,600,0,0,0,850,-40,1
4,0,2,99,660,0,0,0,850,-40,1
4,0,6,99,740,840,0,960,100,-23,1
4,0,6,99,770,870,0,990,100,-23,1
4,0,6,99,800,900,0,1020,100,-23,1
4,0,6,99,850,950,0,960,950,-23,1
4,0,6,99,880,980,0,990,950,-23,1
4,0,6,99,910,1010,0,1020,950,-23,1
4,0,1,99,960,0,0,0,400,-40,1
4,0,1,99,960,0,0,0,500,-40,1
4,0,1,99,960,0,0,0,600,-40,1
4,0,1,99,1020,0,0,0,300,-40,1
4,0,1,99,1020,0,0,0,200,-40,1
4,0,1,99,1020,0,0,0,700,-40,1
4,0,1,99,1020,0,0,0,800,-40,1
3,4,1,2,1100,1,1101,0,200,-40,1
2,1,1,1,1140,1,1141,0,100,-40,1
2,1,1,1,1140,1,1141,0,300,-40,1
3,4,1,2,1100,1,1101,0,800,-40,1
2,1,1,1,1140,1,1141,0,900,-40,1
2,1,1,1,1140,1,1141,0,700,-40,1
1,0,0,99,1320,1380,1381,1951,50,-40,1
1,0,0,99,1320,1380,1381,1951,900,-40,1
1,0,0,99,1380,1440,1441,1951,150,-40,1
1,0,0,99,1380,1440,1441,1951,800,-40,1
1,0,0,99,1440,1500,1501,1951,250,-40,1
1,0,0,99,1440,1500,1501,1951,700,-40,1
1,0,0,99,1500,1560,1561,1951,350,-40,1
1,0,0,99,1500,1560,1561,1951,600,-40,1
1,0,0,99,1560,1620,1621,1951,450,-40,1
1,0,0,99,1560,1620,1621,1951,500,-40,1
1,0,0,99,1620,1680,1681,1951,550,-40,1
1,0,0,99,1620,1680,1681,1951,400,-40,1
1,0,0,99,1680,1740,1741,1951,650,-40,1
1,0,0,99,1680,1740,1741,1951,300,-40,1
1,0,0,99,1740,1800,1801,1951,750,-40,1
1,0,0,99,1740,1800,1801,1951,200,-40,1
1,0,0,99,1800,1860,1861,1951,850,-40,1
1,0,0,99,1800,1860,1861,1951,100,-40,1
1,0,0,99,1860,1920,1921,1951,950,-40,1
1,0,0,99,1860,1920,1921,1951,50,-40,1
2,1,8,1,1920,0,0,0,-20,20,1
3,4,8,2,1980,0,0,0,-20,20,1
2,1,8,1,2040,0,0,0,-20,20,1
2,1,9,1,1920,0,0,0,1020,40,1
3,4,9,2,1980,0,0,0,1020,40,1
2,1,9,1,2040,0,0,0,1020,40,1
4,0,10,99,2100,0,0,0,-20,20,1
4,0,10,99,2160,0,0,0,-20,20,1
4,0,12,99,2220,0,0,0,-20,20,1
4,0,11,99,2100,0,0,0,1020,40,1
4,0,11,99,2160,0,0,0,1020,40,1
4,0,13,99,2220,0,0,0,1020,40,1
4,0,7,99,2300,2360,0,0,500,-40,1
4,0,71,99,2300,2360,0,0,500,-40,1
4,0,7,99,2330,2420,0,0,500,-40,1
4,0,71,99,2330,2420,0,0,500,-40,1
4,0,7,99,2360,2480,0,0,500,-40,1
4,0,71,99,2360,2480,0,0,500,-40,1
4,0,7,99,2390,2540,0,0,500,-40,1
4,0,71,99,2390,2540,0,0,500,-40,1
4,0,7,99,2420,2600,0,0,500,-40,1
4,0,71,99,2420,2600,0,0,500,-40,1
4,0,7,99,2450,2660,0,0,500,-40,1
4,0,71,99,2450,2660,0,0,500,-40,1
4,0,7,99,2480,2720,0,0,500,-40,1
4,0,71,99,2480,2720,0,0,500,-40,1
4,0,7,99,2510,2780,0,0,500,-40,1
4,0,71,99,2510,2780,0,0,500,-40,1
4,0,7,99,2540,2840,0,0,500,-40,1
4,0,71,99,2540,2840,0,0,500,-40,1
4,0,7,99,2570,2900,0,0,500,-40,1
4,0,71,99,2570,2900,0,0,500,-40,1
