éÌóﬁ,Xç¿ïW,Yç¿ïW,Zç¿ïW
0,110,20,880
0,-110,20,880
0,330,20,880
0,-330,20,880
0,530,20,880
0,-530,20,880
0,710,20,880
0,-770,20,880
0,-990,20,880
0,-1190,20,880
0,-1190,20,660
0,-1190,20,440
0,-1190,20,220
0,-1190,20,0
0,-1190,20,1320
0,-1190,20,1540
0,-1190,20,1760
0,-1190,20,1980
0,-1190,20,2200
0,-1190,20,2420
0,-950,20,2420
0,-730,20,2420
0,-510,20,2420
0,-290,20,2420
0,-70,20,2420
0,170,20,2420
0,410,20,2420
0,710,20,2420
0,710,20,1320
0,710,20,1540
0,710,20,1760
0,710,20,1980
0,710,20,2200
0,710,20,440
0,710,20,220
0,710,20,0
0,960,20,0
0,1200,20,0
0,1420,20,0
0,1640,20,0
0,1860,20,0
0,1860,20,220
0,1860,20,440
0,1860,20,660
0,1860,20,880
0,2080,20,660
0,2080,20,880
0,2260,20,880
0,2260,20,660
0,2260,20,440
0,2260,20,220
0,2260,20,0
0,2570,20,0
0,2570,20,220
0,2960,20,0
0,2960,20,220
0,3180,20,0
0,3180,20,220
0,3080,20,770
0,3080,20,550
0,2960,20,1100
0,2960,20,1310
0,3180,20,1100
0,3180,20,1310
0,2570,20,660
0,2570,20,880
0,2570,20,1100
0,2570,20,1320
0,2440,20,1320
0,2200,20,1320
0,2000,20,1320
0,1780,20,1320
0,1560,20,1320
0,1340,20,1320
0,1120,20,1320
0,1120,20,1100
0,1120,20,880
0,1120,20,660
0,-870,20,110
0,-870,20,-110
0,-650,20,110
0,-650,20,-110
0,-770,20,1320
0,-770,20,1540
0,-770,20,1760
0,-770,20,1980
0,-550,20,1980
0,-330,20,1980
0,-110,20,1980
0,110,20,1980
0,330,20,1980
0,1120,20,1760
0,1340,20,1760
0,1560,20,1760
0,1780,20,1760
0,2000,20,1760
0,2220,20,1760
0,2660,20,1870
0,2880,20,1870
0,3100,20,1870
0,2660,20,1650
0,2880,20,1650
0,3100,20,1650
0,2110,20,2090
0,2110,20,2310
0,2770,20,2310
0,2770,20,2090
0,1120,20,2530
0,1340,20,2530
0,1560,20,2530
0,1780,20,2530
0,2000,20,2530
0,2220,20,2530
0,2440,20,2530
0,2660,20,2530
