éÌóﬁ,Xç¿ïW,Yç¿ïW,Zç¿ïW
3,-90,130,450
0,330,130,1085
0,-330,130,1085
0,-770,130,1085
1,530,130,665
1,-540,130,665
2,885,130,440
3,545,130,1320
3,545,130,1760
3,-1375,130,650
2,-1375,130,220
2,-1005,130,440
2,-1005,130,1320
2,-1005,130,1760
3,-1375,130,1100
3,-1375,130,1540
3,-1375,130,1980
3,-1375,130,2420
3,545,130,220
2,885,130,1540
0,-510,130,2625
0,-70,130,2625
0,410,130,2625
1,-770,130,2215
1,-330,130,2215
1,110,130,2215
2,885,130,2420
2,885,130,1980
2,885,130,1100
2,545,130,2200
1,980,130,-205
1,1420,130,-205
3,1575,130,440
3,1575,130,880
0,2000,130,1085
2,2425,130,660
3,2095,130,220
2,2725,130,0
0,1120,130,205
2,3165,130,660
2,2725,130,440
2,2725,130,880
0,2220,130,1525
0,1780,130,1525
0,1340,130,1525
1,1560,130,1115
0,1560,130,1965
0,2000,130,1965
1,-550,130,1775
1,-110,130,1775
0,1120,130,2625
0,1560,130,2625
0,2000,130,2625
0,2440,130,2625
1,1340,130,2435
1,1780,130,2435
1,2220,130,2435
1,2660,130,2435
1,2660,130,1550
1,3100,130,1550
0,2880,130,1965
0,3320,130,1965
2,3525,130,1760
2,-485,130,0
1,-730,130,-205
1,-1160,130,-205
